trade_date,ts_code,open,high,low,close,pre_close,change,pct_change,vol,amount
20170323,300631.SZ,14.36,17.24,14.36,17.24,11.97,5.27,44.03,80.0,135.472
20170324,300631.SZ,18.96,18.96,18.96,18.96,17.24,1.72,9.98,26.0,49.296
20170327,300631.SZ,20.86,20.86,20.86,20.86,18.96,1.9,10.02,20.0,41.72
20170328,300631.SZ,22.95,22.95,22.95,22.95,20.86,2.09,10.02,23.0,52.785
20170329,300631.SZ,25.25,25.25,25.25,25.25,22.95,2.3,10.02,19.0,47.975
20170330,300631.SZ,27.78,27.78,27.78,27.78,25.25,2.53,10.02,27.0,75.006
20170331,300631.SZ,30.56,30.56,30.56,30.56,27.78,2.78,10.01,23.0,70.288
20170405,300631.SZ,33.62,33.62,33.62,33.62,30.56,3.06,10.01,75.0,252.15
20170406,300631.SZ,36.98,36.98,36.98,36.98,33.62,3.36,9.99,184.45,682.096
20170407,300631.SZ,40.68,40.68,40.68,40.68,36.98,3.7,10.01,113.0,459.684
20170410,300631.SZ,44.75,44.75,44.75,44.75,40.68,4.07,10.0,260.0,1163.5
20170411,300631.SZ,49.23,49.23,49.23,49.23,44.75,4.48,10.01,404.0,1988.892
20170412,300631.SZ,54.15,54.15,54.15,54.15,49.23,4.92,9.99,3283.46,17779.935
20170413,300631.SZ,59.57,59.57,56.1,59.57,54.15,5.42,10.01,87717.36,513918.474
20170414,300631.SZ,57.5,58.5,54.0,54.23,59.57,-5.34,-8.96,72136.73,404666.231
20170417,300631.SZ,50.01,50.55,48.81,48.81,54.23,-5.42,-9.99,47057.93,232404.521
20170418,300631.SZ,48.2,50.8,48.19,48.81,48.81,0.0,0.0,32834.6,162056.039
20170419,300631.SZ,48.0,52.4,48.0,51.75,48.81,2.94,6.02,43604.69,220522.025
20170420,300631.SZ,51.53,51.64,48.75,49.38,51.75,-2.37,-4.58,34955.9,174572.68
20170421,300631.SZ,49.5,50.79,48.88,49.0,49.38,-0.38,-0.77,22581.9,112127.018
20170424,300631.SZ,49.02,49.02,46.0,47.12,49.0,-1.88,-3.84,21111.65,100308.298
20170425,300631.SZ,48.0,49.49,47.66,48.07,47.12,0.95,2.02,20848.44,101218.542
20170426,300631.SZ,47.8,49.63,47.8,49.27,48.07,1.2,2.5,22005.5,107701.941
20170427,300631.SZ,48.8,53.4,48.6,52.4,49.27,3.13,6.35,42576.48,218143.524
20170428,300631.SZ,51.89,52.98,51.51,51.8,52.4,-0.6,-1.15,26968.53,140768.324
20170502,300631.SZ,51.6,52.27,50.21,50.67,51.8,-1.13,-2.18,20534.32,104800.317
20170503,300631.SZ,50.67,51.81,49.76,51.74,50.67,1.07,2.11,26607.87,135606.839
20170504,300631.SZ,51.07,51.09,49.31,49.31,51.74,-2.43,-4.7,26095.61,130758.068
20170505,300631.SZ,48.98,49.97,47.38,47.49,49.31,-1.82,-3.69,20853.04,101947.461
20170508,300631.SZ,47.2,48.18,46.6,46.71,47.49,-0.78,-1.64,12119.0,57492.353
20170509,300631.SZ,46.77,47.88,46.31,47.7,46.71,0.99,2.12,12176.32,57545.061
20170510,300631.SZ,48.0,48.6,44.61,45.6,47.7,-2.1,-4.4,20027.07,95006.993
20170511,300631.SZ,45.08,46.8,44.61,46.6,45.6,1.0,2.19,17987.99,82239.855
20170512,300631.SZ,46.58,51.26,46.35,49.78,46.6,3.18,6.82,51789.69,259546.035
20170515,300631.SZ,49.78,50.69,48.83,49.69,49.78,-0.09,-0.18,31947.07,158089.837
20170516,300631.SZ,48.75,51.29,48.03,51.26,49.69,1.57,3.16,31795.02,158865.014
20170517,300631.SZ,51.4,52.28,50.42,50.8,51.26,-0.46,-0.9,30305.81,155791.936
20170518,300631.SZ,49.7,53.5,49.51,51.85,50.8,1.05,2.07,34896.01,180421.384
20170519,300631.SZ,51.32,52.01,48.91,49.14,51.85,-2.71,-5.23,27496.9,138970.618
20170522,300631.SZ,48.85,49.1,45.76,46.02,49.14,-3.12,-6.35,23290.93,110067.493
20170523,300631.SZ,46.09,46.28,44.03,44.18,46.02,-1.84,-4.0,16205.05,73224.172
20170524,300631.SZ,44.3,45.33,43.54,45.05,44.18,0.87,1.97,9613.41,42985.292
20170525,300631.SZ,45.0,45.0,41.66,44.31,45.05,-0.74,-1.64,17913.63,78224.095
20170526,300631.SZ,44.05,45.4,43.98,44.56,44.31,0.25,0.56,12027.18,53755.298
20170531,300631.SZ,46.18,46.99,44.01,44.2,44.56,-0.36,-0.81,14791.0,68147.727
20170601,300631.SZ,43.8,43.8,40.19,40.44,44.2,-3.76,-8.51,14447.0,60798.279
20170602,300631.SZ,40.2,41.95,39.46,41.48,40.44,1.04,2.57,10010.0,40812.799
20170605,300631.SZ,42.28,42.8,41.76,42.0,41.48,0.52,1.25,8233.0,34805.257
20170606,300631.SZ,41.39,42.28,41.39,42.15,42.0,0.15,0.36,6340.0,26559.452
20170607,300631.SZ,42.19,45.0,42.01,44.39,42.15,2.24,5.31,15876.0,69624.728
20170608,300631.SZ,44.3,45.39,43.88,44.2,44.39,-0.19,-0.43,13431.0,59944.177
20170609,300631.SZ,44.1,45.47,43.8,44.98,44.2,0.78,1.76,10528.83,47196.297
20170612,300631.SZ,44.38,44.5,41.97,42.3,44.98,-2.68,-5.96,11580.05,50075.116
20170613,300631.SZ,42.28,44.48,42.0,44.39,42.3,2.09,4.94,10203.83,44627.658
20170614,300631.SZ,44.3,44.88,43.51,44.07,44.39,-0.32,-0.72,7119.0,31374.193
20170615,300631.SZ,44.08,45.6,43.84,45.39,44.07,1.32,3.0,15901.0,71798.743
20170616,300631.SZ,45.2,45.55,44.79,45.14,45.39,-0.25,-0.55,8503.5,38334.147
20170619,300631.SZ,45.08,45.44,44.3,45.3,45.14,0.16,0.35,9316.0,41762.794
20170620,300631.SZ,45.3,45.87,44.56,44.93,45.3,-0.37,-0.82,8268.83,37426.552
20170621,300631.SZ,44.93,45.1,43.82,44.68,44.93,-0.25,-0.56,7903.05,35152.822
20170622,300631.SZ,44.59,44.74,43.09,43.09,44.68,-1.59,-3.56,8343.0,36660.007
20170623,300631.SZ,43.7,43.7,41.6,42.78,43.09,-0.31,-0.72,10285.33,43776.787
20170626,300631.SZ,42.65,43.05,41.92,43.05,42.78,0.27,0.63,6675.0,28417.442
20170627,300631.SZ,43.1,43.53,42.84,43.0,43.05,-0.05,-0.12,5530.83,23880.096
20170628,300631.SZ,43.4,43.89,42.61,42.71,43.0,-0.29,-0.67,7369.83,31820.187
20170629,300631.SZ,42.8,43.4,42.71,42.79,42.71,0.08,0.19,4522.0,19443.61
20170630,300631.SZ,43.0,43.5,42.38,43.37,42.79,0.58,1.36,8484.0,36567.856
20170703,300631.SZ,43.3,43.79,43.03,43.62,43.37,0.25,0.58,12601.0,54808.428
20170704,300631.SZ,27.13,27.17,26.35,26.4,27.14,-0.74,-2.73,13781.19,36746.803
20170705,300631.SZ,26.5,27.18,26.36,26.88,26.4,0.48,1.82,18550.2,49714.91
20170706,300631.SZ,26.88,27.17,26.5,27.16,26.88,0.28,1.04,22022.32,59312.059
20170707,300631.SZ,27.3,28.08,27.17,27.61,27.16,0.45,1.66,27917.06,77215.553
20170710,300631.SZ,27.32,27.4,26.03,26.16,27.61,-1.45,-5.25,20254.6,53732.291
20170711,300631.SZ,26.2,26.24,25.52,25.63,26.16,-0.53,-2.03,13761.2,35653.592
